record_id,title,abstract,keywords,year,venue,source_database,provenance_stratum
A001,"Shared control cues in automated driving","A synthetic study of how drivers interpret shared control transitions and recoverable handover cues in an automated cockpit.","shared control; handover; recoverability; trust",2024,"Demo HCI Journal","Scopus","Cognitive collaboration"
A002,"Legible handover in intelligent cockpits","A synthetic experiment examining timing and wording of handover messages during partially automated driving.","handover; cockpit; automation; legibility",2023,"Demo Human Factors","Web of Science","Cognitive collaboration"
A003,"Collaborative agency in vehicle interfaces","A synthetic conceptual paper describing how drivers and intelligent agents negotiate control authority.","shared agency; control; intelligent agent; collaboration",2025,"Demo Design Studies","Scopus","Cognitive collaboration"
A004,"Recoverable control after automation failure","A synthetic user study of how drivers regain control after unexpected automation behavior.","recoverable control; failure; trust; driver",2022,"Demo HCI Conference","ACM Digital Library","Cognitive collaboration"
A005,"Driver-state sensing as a collaboration resource","A synthetic paper linking driver-state sensing to adaptive handover rather than treating sensing as a stand-alone technical function.","driver-state sensing; handover; shared agency; adaptation",2025,"Demo Intelligent Vehicles","IEEE Xplore","Cognitive collaboration"
A006,"Trust calibration through shared-control feedback","A synthetic experiment on feedback that helps users calibrate reliance during transitions between human and automated control.","trust calibration; reliance; feedback; shared control",2024,"Demo Automation Journal","Web of Science","Cognitive collaboration"
A007,"Multimodal cockpit interaction with voice and gaze","A synthetic interaction study combining voice, gaze, and touch for in-vehicle command selection.","multimodal interaction; voice; gaze; touch",2024,"Demo HCI Journal","ACM Digital Library","HCI and embodied intelligence"
A008,"Haptic confirmation for vehicle-agent communication","A synthetic prototype using haptic seat and steering-wheel cues to confirm intelligent-agent actions.","haptics; vehicle agent; feedback; multimodal",2023,"Demo Design Conference","Scopus","Embodied interaction"
A009,"Gesture and gaze fusion for cockpit control","A synthetic model and user evaluation of gesture-gaze fusion in a vehicle interface.","gesture; gaze; multimodal fusion; cockpit",2025,"Demo Interaction Journal","IEEE Xplore","HCI and embodied intelligence"
A010,"Voice-first interaction under driving workload","A synthetic study of voice interaction under changing driver workload and visual demand.","voice interaction; workload; multimodal; driving",2022,"Demo Ergonomics Journal","Web of Science","HCI and embodied intelligence"
A011,"Physical manifestations of in-vehicle agents","A synthetic design investigation of tangible and spatially embodied representations for an intelligent cockpit agent.","physical manifestation; embodied agent; cockpit; tangible interface",2024,"Demo Design Studies","Scopus","Embodied interaction"
A012,"AR cues for multimodal vehicle guidance","A synthetic augmented-reality study combining visual overlays with speech and haptic guidance.","AR; multimodal interaction; guidance; cockpit",2025,"Demo XR Journal","Google Scholar","HCI and embodied intelligence"
A013,"Affective adaptation in intelligent interiors","A synthetic study using inferred affect to adapt lighting, audio, and interface behavior in a vehicle cabin.","affect recognition; adaptive interface; lighting; audio",2024,"Demo Affective Computing","IEEE Xplore","Affective computing and interaction"
A014,"Emotional design for automated mobility","A synthetic design study examining aesthetic and affective responses to automated mobility interfaces.","emotional design; aesthetics; automated mobility; experience",2023,"Demo Design Journal","Scopus","Emotional interaction"
A015,"Multimodal affect recognition for cockpit agents","A synthetic system combining facial, vocal, and physiological cues to estimate occupant affect.","affect recognition; multimodal sensing; cockpit agent; physiology",2025,"Demo AI Journal","Web of Science","Affective computing and interaction"
A016,"Aesthetic cockpit experience and trust","A synthetic user study connecting visual form, animation, and perceived trustworthiness of an in-vehicle agent.","aesthetics; cockpit experience; trust; anthropomorphism",2024,"Demo HCI Journal","ACM Digital Library","Emotional interaction"
A017,"Anthropomorphic cues in vehicle assistants","A synthetic experiment on how face-like and voice-like cues shape social expectations toward vehicle assistants.","anthropomorphism; assistant; social cues; trust",2022,"Demo Interaction Journal","Scopus","Emotional interaction"
A018,"Personalized affective feedback during stressful traffic","A synthetic study of adaptive feedback during stressful traffic situations using affect-sensitive interaction.","personalization; affective feedback; stress; intelligent cockpit",2025,"Demo Human Factors","Web of Science","Affective computing and interaction"
A019,"Explainable vehicle AI for safety-critical interaction","A synthetic paper evaluating explanations for automated decisions in safety-critical driving scenarios.","explainable AI; safety; automated driving; accountability",2025,"Demo AI and Society","Scopus","HCI and embodied intelligence"
A020,"Privacy-aware driver monitoring","A synthetic study examining consent, data minimization, and privacy expectations for driver monitoring systems.","privacy; driver monitoring; consent; data governance",2024,"Demo Ethics Journal","Web of Science","HCI and embodied intelligence"
A021,"Accessible interfaces for older mobility users","A synthetic inclusive-design study of legibility, input alternatives, and recovery support for older passengers.","accessibility; inclusion; older users; interface legibility",2023,"Demo Inclusive Design","Scopus","Embodied interaction"
A022,"Safety verification and lived assurance","A synthetic mixed-method study connecting technical verification with user-facing assurance and recoverability.","safety verification; assurance; recoverability; accountability",2025,"Demo Safety Journal","IEEE Xplore","HCI and embodied intelligence"
A023,"Cross-cultural interpretation of eHMI signals","A synthetic comparative study of how external vehicle signals are interpreted across cultural contexts.","cross-cultural HMI; eHMI; legibility; context",2024,"Demo HCI Conference","ACM Digital Library","Embodied interaction"
A024,"Transparent data governance for intelligent mobility","A synthetic policy-and-design study of transparent data use, consent, and contestability in intelligent mobility services.","data governance; transparency; privacy; intelligent mobility",2025,"Demo Information Policy","Google Scholar","HCI and embodied intelligence"
